sample_date,sample_id,state,location_type,water_source,season,ph,turbidity_ntu,tds_mg_l,dissolved_oxygen_mg_l,bod_mg_l,fecal_coliform_mpn,total_coliform_mpn,nitrate_mg_l,fluoride_mg_l,chloride_mg_l,hardness_mg_l,temperature_c,arsenic_ug_l,iron_mg_l,population_served,sanitation_access_percent,cholera_outbreak,typhoid_outbreak,dysentery_outbreak,hepatitis_a_outbreak,overall_outbreak
2023-01-01 00:00:00.000000000,WQ000001,Meghalaya,Rural,Hand Pump,Monsoon,7.03,14.75,499.61,8.0,5.33,46.41,147.61,7.25,1.75,10.42,91.92,25.72,12.89,1.53,50,60,0,0,0,0,0
2023-01-01 01:10:05.080338689,WQ000002,Arunachal Pradesh,Rural,Well,Post-Monsoon,7.27,2.01,537.57,1.57,1.76,39.98,88.67,11.2,0.88,11.04,79.58,24.31,0.49,0.69,500,80,0,0,0,0,0
2023-01-01 02:20:10.160677378,WQ000003,Manipur,Rural,Spring,Winter,5.55,0.46,60.34,6.77,2.75,69.43,176.16,4.16,0.14,18.7,120.33,18.49,8.55,0.5,2000,40,0,0,0,0,0
2023-01-01 03:30:15.241016067,WQ000004,Nagaland,Rural,Stream,Post-Monsoon,6.75,5.77,470.35,7.25,0.57,10.11,33.86,6.87,0.63,40.96,127.49,24.56,21.23,0.52,1000,80,0,0,0,0,0
2023-01-01 04:40:20.321354756,WQ000005,Assam,Rural,Hand Pump,Monsoon,7.53,4.37,243.01,5.38,0.5,177.4,513.69,8.63,0.38,7.86,148.95,27.54,1.98,0.93,50,80,1,1,1,1,1
2023-01-01 05:50:25.401693446,WQ000006,Assam,Rural,Pond,Post-Monsoon,6.14,9.71,535.57,6.92,2.8,510.75,1112.87,1.9,1.03,21.72,129.39,30.19,8.35,0.01,50,40,1,1,1,1,1
2023-01-01 07:00:30.482032135,WQ000007,Assam,Rural,Pond,Pre-Monsoon,6.56,4.21,237.91,5.24,0.57,23.6,51.25,3.56,0.11,19.02,87.68,19.44,5.97,0.54,2000,60,0,0,0,0,0
2023-01-01 08:10:35.562370824,WQ000008,Arunachal Pradesh,Rural,Well,Post-Monsoon,9.0,2.02,434.98,7.57,0.5,14.92,32.7,1.09,0.05,41.74,73.78,32.57,3.23,0.12,500,40,0,0,0,0,0
2023-01-01 09:20:40.642709513,WQ000009,Nagaland,Rural,Hand Pump,Monsoon,6.86,16.4,103.67,4.18,0.58,87.97,180.94,5.65,0.54,66.85,108.74,22.04,4.47,0.25,50,40,1,1,0,1,1
2023-01-01 10:30:45.723048203,WQ000010,Manipur,Rural,Stream,Post-Monsoon,6.79,0.87,506.17,4.91,3.76,16.18,45.48,7.07,0.02,61.19,72.17,23.33,7.15,0.08,50,60,0,0,0,0,0
2023-01-01 11:40:50.803386892,WQ000011,Assam,Rural,Well,Post-Monsoon,6.62,10.03,360.29,5.39,0.85,8.74,26.39,9.38,1.21,50.0,149.52,30.54,12.28,0.99,100,60,0,0,0,0,0
2023-01-01 12:50:55.883725581,WQ000012,Arunachal Pradesh,Rural,Spring,Post-Monsoon,7.3,4.21,530.78,7.29,2.72,18.09,48.38,21.99,1.59,25.63,100.15,21.58,10.69,0.61,1000,60,0,0,0,0,0
2023-01-01 14:01:00.964064270,WQ000013,Mizoram,Urban,Spring,Winter,7.55,11.72,249.69,6.69,4.95,42.67,116.84,1.96,0.35,9.03,107.07,14.0,3.15,0.3,500,20,0,0,0,0,0
2023-01-01 15:11:06.044402960,WQ000014,Assam,Rural,Pond,Monsoon,5.0,2.6,379.85,4.63,0.7,1.8,3.81,0.94,0.49,25.85,75.99,22.07,2.25,0.34,500,80,0,0,0,0,0
2023-01-01 16:21:11.124741649,WQ000015,Assam,Urban,Well,Monsoon,5.0,8.44,562.67,6.13,3.97,77.44,194.29,1.41,0.51,50.33,106.51,22.81,0.93,0.99,50,40,0,1,0,1,1
2023-01-01 17:31:16.205080338,WQ000016,Assam,Rural,Pond,Pre-Monsoon,6.2,1.39,346.39,6.03,0.88,242.47,730.37,1.92,0.24,60.42,101.9,28.29,12.28,1.74,2000,60,1,1,1,1,1
