sample_date,state,location_type,water_source,season,ph,turbidity_ntu,tds_mg_l,dissolved_oxygen_mg_l,bod_mg_l,fecal_coliform_mpn,total_coliform_mpn,nitrate_mg_l,fluoride_mg_l,chloride_mg_l,hardness_mg_l,temperature_c,arsenic_ug_l,iron_mg_l,population_served,sanitation_access_percent,cholera_outbreak,typhoid_outbreak,dysentery_outbreak,hepatitis_a_outbreak,overall_outbreak
2023-12-22,Meghalaya,Rural,Hand Pump,Winter,6.05,1.25,502.7,3.01,0.5,105.6,267.5,18.45,0.423,1.0,36.9,14.2,18.86,0.315,100,40,0,0,1,0,1
2023-08-05,Sikkim,Rural,Pond,Winter,5.67,11.39,438.9,4.83,2.3,47.7,75.6,17.01,1.271,58.7,124.2,14.8,3.78,0.432,50,80,0,0,0,0,0
2024-07-29,Manipur,Urban,Spring,Monsoon,6.12,25.07,162.5,9.33,1.52,230.5,599.9,7.36,0.997,45.5,82.8,17.2,2.97,0.681,500,20,1,1,1,1,1
2024-09-29,Nagaland,Rural,Stream,Monsoon,8.43,12.05,423.6,7.56,5.67,81.0,140.3,71.26,0.889,97.3,121.5,24.4,9.09,0.363,5000,40,0,1,1,1,1
2023-07-26,Assam,Rural,Stream,Monsoon,5.5,7.86,427.2,9.25,1.13,111.0,185.9,26.48,0.362,11.0,95.7,25.4,0.04,0.915,100,60,1,0,0,1,1
2024-05-21,Assam,Rural,Hand Pump,Winter,6.32,0.49,895.4,8.93,0.98,85.5,227.2,8.45,0.2,9.4,216.5,16.6,15.51,5.0,50,40,0,0,0,0,0
2023-06-14,Assam,Rural,Spring,Monsoon,5.29,26.47,270.9,9.34,5.3,53.4,137.7,27.3,0.358,64.0,125.9,22.8,3.36,1.529,200,20,1,1,0,0,1
2023-04-02,Arunachal Pradesh,Rural,Spring,Pre-Monsoon,5.92,5.5,452.0,6.37,3.39,7.4,13.9,6.49,1.259,23.9,38.4,21.1,0.22,2.89,1000,60,0,0,0,0,0
2023-11-03,Nagaland,Rural,River,Monsoon,6.48,16.3,418.6,3.63,1.38,196.7,401.4,11.92,1.072,62.1,70.5,23.0,5.78,0.553,100,60,1,1,1,1,1
2023-04-04,Manipur,Rural,Pond,Pre-Monsoon,5.97,34.7,468.7,0.5,0.5,10.3,26.3,11.18,1.886,81.5,88.1,30.5,15.06,1.188,100,100,1,0,1,0,1
2024-06-07,Assam,Rural,Well,Monsoon,7.69,5.46,274.6,1.43,0.5,410.6,956.1,14.68,1.19,24.0,82.5,25.8,2.04,0.25,200,20,1,1,1,1,1
2024-02-13,Sikkim,Rural,River,Monsoon,7.84,66.71,248.2,6.13,0.5,5.5,9.6,8.94,0.8,63.9,57.6,19.5,15.87,0.252,100,60,0,0,0,0,0
2023-07-06,Mizoram,Urban,Stream,Pre-Monsoon,7.13,16.49,205.3,8.11,4.01,71.2,133.9,0.1,1.771,53.5,76.8,21.8,1.09,1.743,100,60,0,0,0,0,0
2024-06-18,Assam,Rural,Spring,Monsoon,5.87,16.62,281.1,12.0,1.18,6.2,12.5,6.81,0.39,31.0,109.3,26.3,2.53,0.575,500,60,0,0,0,0,0
2023-07-09,Assam,Rural,Spring,Post-Monsoon,7.37,1.17,396.7,8.88,3.68,142.6,416.2,17.45,0.222,50.7,191.2,26.4,10.79,1.524,200,80,0,0,0,0,0
2024-07-02,Assam,Rural,Stream,Pre-Monsoon,6.22,4.87,325.4,7.31,2.68,14.7,24.7,6.02,0.221,58.5,97.5,23.2,7.41,0.24,200,40,0,0,0,1,1
2024-08-21,Meghalaya,Rural,Hand Pump,Monsoon,7.21,0.37,454.1,6.11,1.43,235.9,386.3,21.01,0.128,49.5,75.8,23.0,3.94,0.69,200,20,1,1,1,1,1
2024-11-28,Tripura,Rural,River,Monsoon,6.16,38.15,370.0,6.14,1.07,85.3,192.9,70.52,0.324,19.3,34.8,26.6,11.7,0.12,100,20,1,1,1,1,1
2024-05-26,Meghalaya,Rural,Spring,Monsoon,6.26,35.6,319.2,7.98,0.5,26.3,68.3,52.58,0.209,22.7,28.0,27.2,9.43,2.792,200,20,0,1,0,0,1
2024-09-28,Assam,Rural,Stream,Monsoon,5.61,23.32,438.3,8.84,0.5,49.7,143.8,6.16,0.321,8.4,54.6,22.4,1.13,0.315,500,60,0,0,0,0,0
2024-10-25,Nagaland,Urban,River,Post-Monsoon,6.57,20.33,478.6,5.89,4.14,40.1,75.5,17.57,0.269,61.3,133.2,24.9,0.63,0.112,200,80,0,0,0,0,0
2024-05-24,Assam,Rural,Spring,Monsoon,5.06,6.21,367.1,5.55,0.5,22.3,55.6,8.48,0.085,96.7,93.6,27.9,5.02,0.736,50,60,0,0,0,0,0
2023-12-06,Assam,Rural,River,Monsoon,7.19,33.35,644.0,7.12,0.81,19.4,53.7,28.99,0.719,97.8,127.1,25.8,1.84,1.245,200,40,0,0,0,1,1
2024-06-19,Meghalaya,Rural,Stream,Monsoon,5.64,15.59,307.3,6.3,2.83,179.7,527.2,17.92,0.349,1.0,94.3,26.6,2.26,0.747,100,20,1,1,1,1,1
2024-03-31,Tripura,Rural,Spring,Pre-Monsoon,5.51,0.19,550.4,5.29,7.63,13.7,30.8,5.9,1.628,42.5,128.1,23.0,21.07,2.273,100,20,0,0,0,0,0
2024-02-08,Mizoram,Rural,Rainwater,Pre-Monsoon,5.55,0.41,672.4,4.48,5.12,8.8,22.2,9.84,0.114,26.1,83.0,34.8,0.93,0.141,200,40,0,0,0,0,0
2024-06-25,Assam,Rural,Hand Pump,Monsoon,4.5,12.45,488.4,5.57,4.86,84.9,231.6,26.11,0.357,32.4,106.8,25.3,9.81,1.911,100,40,0,1,1,1,1
2024-08-12,Tripura,Rural,Stream,Winter,7.25,18.05,411.2,9.63,6.87,18.8,40.3,30.07,0.01,1.0,129.1,15.5,3.46,0.571,200,20,0,0,0,0,0
2024-03-13,Nagaland,Rural,Stream,Pre-Monsoon,7.39,5.55,223.5,5.63,3.78,45.7,115.0,15.33,0.128,14.6,104.3,30.4,1.74,0.558,1000,80,0,0,0,0,0
2023-03-16,Assam,Rural,Stream,Pre-Monsoon,6.94,2.18,544.6,9.13,3.03,30.6,74.1,17.41,0.265,40.3,152.9,28.8,4.15,1.411,500,60,0,0,0,0,0
2023-05-21,Nagaland,Rural,River,Monsoon,5.65,15.28,282.0,3.6,7.18,93.1,144.7,6.48,1.208,22.4,186.6,24.5,21.5,0.746,200,60,0,0,1,0,1
2023-04-19,Assam,Rural,River,Pre-Monsoon,7.44,1.27,461.5,5.8,0.5,77.5,188.7,13.47,0.097,1.0,140.7,22.2,3.92,0.398,200,80,0,0,0,0,0
2023-07-16,Assam,Urban,River,Pre-Monsoon,7.27,2.13,631.5,6.52,1.59,30.3,62.7,14.65,0.127,51.8,133.5,21.9,10.94,0.114,1000,60,0,0,0,0,0
2023-12-04,Arunachal Pradesh,Rural,Spring,Monsoon,6.97,55.88,510.5,11.08,5.05,144.9,240.9,46.05,0.358,93.0,141.1,22.4,5.35,1.663,500,20,1,1,1,1,1
2024-08-10,Sikkim,Urban,Hand Pump,Monsoon,7.06,1.64,589.6,9.62,0.69,161.3,384.2,0.77,0.306,1.0,100.9,24.0,1.09,2.058,1000,40,1,1,1,1,1
2024-05-12,Mizoram,Rural,Spring,Monsoon,6.85,38.02,292.1,8.11,5.38,86.3,160.3,11.74,0.269,1.0,56.0,28.7,5.89,1.11,100,60,0,1,0,1,1
2023-06-29,Meghalaya,Urban,Rainwater,Monsoon,5.5,11.32,278.1,6.53,2.01,342.7,594.4,5.74,0.03,25.8,101.4,29.3,0.29,0.186,50,20,1,1,1,1,1
2023-10-02,Assam,Rural,River,Pre-Monsoon,7.38,4.9,475.2,8.32,0.65,10.4,28.9,11.33,0.147,43.6,51.8,26.0,10.0,1.091,200,40,0,0,0,0,0
2024-01-05,Manipur,Rural,Rainwater,Monsoon,7.0,26.1,299.6,2.42,1.1,16.7,28.3,32.2,0.37,93.0,64.3,25.6,15.0,0.576,200,60,0,0,0,0,0
2023-10-25,Meghalaya,Rural,Spring,Monsoon,4.69,10.98,446.5,5.66,10.54,43.0,104.3,6.9,0.022,14.4,143.8,21.2,2.24,1.24,100,20,0,0,0,0,0
2023-01-07,Assam,Rural,River,Monsoon,7.28,5.81,369.5,7.43,0.5,63.9,158.2,6.76,0.011,21.9,10.0,23.2,2.06,0.066,50,80,0,0,0,0,0
2024-06-10,Tripura,Rural,Pond,Pre-Monsoon,7.42,7.19,597.5,0.5,0.5,41.8,108.1,21.71,0.943,62.7,201.9,26.1,0.26,1.976,100,60,0,0,0,0,0
2024-03-06,Assam,Rural,Spring,Pre-Monsoon,5.78,1.85,828.8,9.2,1.82,79.0,159.1,36.53,0.203,11.1,88.2,31.1,5.43,0.314,50,60,0,0,0,0,0
2023-07-20,Arunachal Pradesh,Rural,Stream,Pre-Monsoon,6.94,3.9,284.0,6.42,2.45,61.7,161.1,45.4,0.013,1.0,207.7,24.7,8.36,1.43,50,40,0,1,0,1,1
2024-04-08,Assam,Rural,River,Monsoon,6.73,80.53,442.1,9.03,0.67,214.1,387.6,57.68,0.131,55.8,130.4,27.9,0.24,0.127,2000,60,1,1,1,1,1
2024-05-01,Nagaland,Rural,Stream,Post-Monsoon,6.3,30.18,567.9,7.68,0.59,111.0,278.3,45.98,0.019,102.6,106.0,28.8,13.95,0.98,100,40,1,1,1,1,1
2024-11-07,Meghalaya,Rural,Rainwater,Monsoon,6.34,30.22,742.0,5.17,2.67,26.7,77.2,10.19,0.285,1.0,157.1,26.6,0.91,0.312,200,80,0,0,0,0,0
2024-09-22,Tripura,Rural,Stream,Post-Monsoon,8.26,9.08,527.5,6.31,4.99,10.2,15.7,16.68,0.244,38.8,72.7,25.2,5.82,0.561,100,40,0,0,0,0,0
2023-03-19,Tripura,Rural,Rainwater,Monsoon,6.54,10.9,432.7,7.36,0.82,29.7,82.0,29.1,0.013,12.6,26.2,26.1,2.07,1.251,2000,40,0,0,0,0,0
2023-12-20,Assam,Urban,Stream,Monsoon,6.59,36.73,316.7,8.08,0.98,152.4,240.0,20.46,0.186,1.0,11.8,22.9,2.89,0.03,100,20,1,1,1,1,1
2023-05-29,Sikkim,Rural,River,Pre-Monsoon,6.4,8.94,354.6,6.77,7.66,19.4,48.4,25.29,1.02,62.4,50.0,25.1,3.52,1.169,100,60,0,0,0,0,0
