Feature,Importance
fecal_coliform_mpn,0.3060811
season_encoded,0.15697457
sanitation_access_percent,0.1198757
total_coliform_mpn,0.08195195
water_source_encoded,0.071617834
turbidity_ntu,0.06787099
dissolved_oxygen_mg_l,0.02250269
population_served,0.0202068
temperature_c,0.013744345
bod_mg_l,0.013265278
state_encoded,0.01301082
chloride_mg_l,0.012974633
hardness_mg_l,0.012859342
iron_mg_l,0.012777727
arsenic_ug_l,0.012768194
tds_mg_l,0.012532486
location_type_encoded,0.012398495
ph,0.012332326
fluoride_mg_l,0.012184838
nitrate_mg_l,0.012069966
